canonical,ad_name,notion_id,spend,TD,hook_frame,master_frame,close_type,specificity,pain_target,production_cue,language,evidence_hook,evidence_close,evidence_pain,visual_text_seen,confidence,notes
strong-math-indian-tutors,CAN_FB_Leads_Conv_Expats_34-55_Signup_Old_LP_NA_Static-Strong-math-Indian-tutors-310126,2f18897caec78088ada4dadb3ff74638,406440,17,Cultural,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Trusted Indian Math Tutors",Book a Free Class,"top 1% Indian tutors","Strong Math with Indian Tutors | 1:1 personalized online tutoring | Top 1% Indian Tutors",High,
math_kangaroo_static_30-day-prep,Math_Kangaroo_Static_30-Day-Prep_040126,3148897caec7805985add806bbf40eb4,373535,3,Competition,Competition-Prep,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,"30-Day Math Kangaroo Prep",Book a Free Class,"Math Kangaroo","Math Kangaroo 30-Day Prep | Build Math Kangaroo-Ready Thinking",High,
master-math-this-winter-white,USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_NRI_Contextual_Statics_NA_Static-Master-Math-this-Winter-White-060226,2f18897caec78088ada4dadb3ff74638,351921,11,Cultural,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Master Math this Winter",Book a Free Class,"top Indian tutors","Master Math this Winter | Top Indian Math Tutors for K-12 NRI Kids",Medium,Reuses NRI contextual frame; winter callout but no offer in copy
top-indian-tutors,USA_FB_Leads_Conv_Advantage_Audience_High_NRI_Creatives_Scaling_Signup_Old-LP_NA_Static-Top-Indian-tutors-060226,2f18897caec78088ada4dadb3ff74638,346569,7,Cultural,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Top Indian Math Tutors",Book a Free Class,"top 1% Indian tutors","Top Indian Tutors | Trusted Indian Math Tutors for K-12 NRI Kids | Trustpilot 4.9",High,
static_w-ch-strong-foundations,Static_W-Ch-Strong-Foundations_230226,32f8897caec7809fb096d641ec1e4d6f,323813,7,Cultural,Outcome-First,Free-Class,Anonymous,Foundation,Static-Graphic,Mandarin,"Strong Foundations - Chinese variant",Book a Free Class,"strong foundations","W-Ch Strong Foundations | Chinese PLA variant | 1:1 Math Learning",Medium,Chinese PLA — visual text inferred; uses Asian strong foundation frame
anz_pfx_fb_leads_conv_int_all-expats_35-55_australia_static_,ANZ_PFX_FB_Leads-Conv_Australia_All-Expats_ShortForm-LP-Signup_NA_Static_Y-NAPLAN-Start-Summer_210126,2d58897caec78004bf5cc99416250587,297452,15,Competition,Competition-Prep,Offer-led,Anonymous,Competition-Prep,Static-Graphic,English,"Start Summer Strong with 1:1 Online NAPLAN Maths Prep","Up to 20% Off + Free Workbooks | Book a Free Class","NAPLAN-style questions","Start Summer Strong with NAPLAN Maths Prep | Up to 20% Off + Free Workbooks",High,
o-strong-foundations_v2,MEA_AKT_FB_Leads_Conv_Interest_Maths_Engaged_shoppers_Parents_with_preteens_NA_Static_O-Strong-Foundations_V2-121225,2958897caec7805fba91cae7026816c3,275051,13,Anxiety,Outcome-First,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Make Math a Strength, Not a Struggle V2",Book Your Free Class Today,"From confusion to confidence","O-Strong-Foundations V2 | Make Math a Strength Not a Struggle",High,
balamaina_math_foundation,USA_AKT_FB_Leads_Conv_Advantage_Audience-Telugu_35-55_LeadGen_Telugu_Creatives_Telugu_copy_NA_Static_Balamaina_Math_Foundation_150126,,257222,3,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,Telugu,"Balamaina Math Foundation - Telugu vernac",Book a Free Class,"strong math foundation","Telugu vernac static | Strong math foundation for Telugu families",Medium,Telugu vernac creative; Notion match not located — inferred from filename
ib-myp1,MEA_AKT_FB_Leads_Conv_UAE_HNIs_Targeting_LP_Pricing_Creatives_60AED_Signup_NA_Static-IB-MYP1_260126,2e18897caec78067a394d39d685bc71c,244062,4,Enrichment,MathFit,Offer-led,Anonymous,"Personalization-Gap,Foundation",Static-Graphic,English,"1:1 Math Tutoring for IB MYP",Book a Free 1:1 Class Today,"Want your child to truly understand IB MYP Math, not just memorize steps?","1:1 Math Tutoring for IB MYP | School-Aligned | 4.9 Trustpilot | KHDA Approved | 60 AED/class",High,Memorization vs Understanding underlies but explicit MYP topic; pricing offer
y-girl-mathfit,Mea_PFX_FB_Leads-Conv_AD-DH-Sha-Cities_Int-Premium_LeadGen_NA_Static_Y-Girl-MathFit_240925,,241594,8,Enrichment,MathFit,Free-Class,Named-child,Confidence,Static-Graphic,English,"Make Your Child MathFit",Book a Free Class,"MathFit - thinking not calculating","Y-Girl-MathFit | Make her MathFit | Premium Cities MEA",Medium,Notion not located via search; tagged from MathFit framing in name
build skills-v2,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Math-Kangaroo_LeadGen_NA_Static-Build Skills-V2-111225,3148897caec7805985add806bbf40eb4,228113,5,Competition,Competition-Prep,Free-Class,Named-child,Competition-Prep,Static-Graphic,English,"Build Math Kangaroo Skills",Book a Free Class,"Math Kangaroo","Build Skills V2 | Math Kangaroo prep | 1:1 with top Indian tutors",High,
anz_fb_leads_conv_lal-ql-0to2%_australia_static_w-naplan-202,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Static_W-NAPLAN-2026-Ready_030226,2d58897caec78004bf5cc99416250587,227400,7,Competition,Competition-Prep,Free-Class,Named-child,Competition-Prep,Static-Graphic,English,"NAPLAN 2026 is closer than you think",Book a Free Class,"NAPLAN 2026","NAPLAN 2026 Ready | Personalised NAPLAN Maths Prep | Book a Free Class",High,
anz_fb_leads_conv_parents-all-pri+sec_australia_static_y-tes,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_Y-Testimonial-Vishal_020326,3148897caec78012baaaf17b77aca7d1,203618,13,Competition,Outcome-First,Free-Class,Named-parent,Competition-Prep,Static-Graphic,English,"How is your child preparing for NAPLAN?",Book a Free Class,"NAPLAN — top 5% of their state","Vishal Sharma testimonial | NAPLAN Success | top 5% of state",High,
color_their_future,USA_FB_Leads_Conv_LAL_Enrolled_Signup_LP_Holi_Creatives_NA_Static_Color_Their_Future_200226,3098897caec780baba52f8addc01c5d0,202150,6,Cultural,Outcome-First,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Color Their Future with Strong Math Skills",Book a Free Class,"deep conceptual understanding","Color Their Future with Strong Math Skills | Deep Conceptual Clarity | Top Indian Tutors | Holi 2026",High,
anz_fb_leads_conv_int-parents_australia_static_y-testimonial,ANZ_FB_Leads_Conv_int-Parents_Australia_Static_Y-Testimonial-Vishal_200326,3148897caec78012baaaf17b77aca7d1,192582,5,Competition,Outcome-First,Free-Class,Named-parent,Competition-Prep,Static-Graphic,English,"How is your child preparing for NAPLAN?",Book a Free Class,"NAPLAN-level math assessments","Vishal NAPLAN testimonial - int-Parents audience",High,
anz_fb_leads_conv_parents-all-pri+sec_australia_static_y-nap,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_Y-NAPLAN-Chinese_290126,2d58897caec78004bf5cc99416250587,191420,6,Competition,Cultural-Relatability,Offer-led,Anonymous,Competition-Prep,Static-Graphic,Mandarin,"NAPLAN 2026 — Chinese variant","Up to 20% Off + Free Workbooks","NAPLAN-style questions","Y-NAPLAN-Chinese | NAPLAN 2026 prep for Chinese-Australian families",Medium,Chinese vernac NAPLAN; offer present per ANZ pattern
anz-uk_fb_leads_conv_payu_uk_static_p-gamified,ANZ-UK_FB_Leads_Conv_PayU_UK_Static_P-Gamified_250226,,189495,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-child,Engagement,Static-Graphic,English,"Gamified math learning",Book a Free Class,"interactive gamified platform","P-Gamified UK | Interactive gamified math platform",Low,Notion match not located; UK gamified static — inferred from canonical
boost-score-in-amc8,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_AMC_LeadGen_NA_Static-Boost-score-in-AMC8--310126,,188026,4,Competition,Competition-Prep,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,"Boost Your Score in AMC 8",Book a Free Class,"AMC 8","Boost Your Score in AMC 8 | 1:1 prep with top Indian tutors",High,
naplan-chinese,ANZ_PFX_FB_Leads-Conv_Australia_LeadGen_NA_Static_NAPLAN-Chinese_061125,2d58897caec78004bf5cc99416250587,182062,8,Competition,Cultural-Relatability,Offer-led,Anonymous,Competition-Prep,Static-Graphic,Mandarin,"NAPLAN prep — Chinese variant","Up to 20% Off + Free Workbooks","NAPLAN-style questions","NAPLAN-Chinese | Personalised NAPLAN Maths Prep for Chinese-Australian families",Medium,
make-child-mathfit,USA_FB_Leads_Conv_LAL_Enrolled_35-55_Republic_Day_LeadGen_NA_Static-make-child-mathfit-200126,2de8897caec780acab62e8241aa90e55,181205,3,Cultural,MathFit,Offer-led,Named-child,Confidence,Static-Graphic,English,"This Republic Day, Make your Child MathFit","25% Off · Book a Free Class","MathFit - rise above math anxiety","This Republic Day Make your Child MathFit | 1:1 Online Tutoring | 25% OFF | Top Indian Tutors",High,
parents-believed-offline-was-better,MEA_AKT_FB_Leads_Conv_UAE_High_ROAS_Creative_Scaling_LP_Signup_NA_Static-Parents-believed-offline-was-better-180226,,173689,5,System-diagnosis,Outcome-First,Free-Class,Named-parent,Personalization-Gap,Static-Graphic,English,"Parents believed offline was better",Book a Free Class,"offline was better","Parents believed offline was better | UAE expats | until they tried Cuemath",Medium,Notion match not located; second variant of offline-vs-online frame
starting-at-$20-per-class,USA_FB_Leads_Conv_LAL_Enrolled_35-55_Pricing_Creatives_LeadGen_NA_Static-starting-at-$20-per-class-220126,2e68897caec78020ab34d67867ff9f82,171794,3,Enrichment,Top-Tutors,Offer-led,Named-child,Foundation,Static-Graphic,English,"Starting at $20 per class","Classes start at $20 | Book a Free Class","top Indian tutors at affordable price","Now starting at $20/class | 1:1 Personalized Online Math Tutoring | Top Indian Tutors",High,
anz_fb_leads_conv_lal-ql-0to2%_australia_static_w-testimonia,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Static_W-Testimonial-NAPLAN_030226,3148897caec78012baaaf17b77aca7d1,159595,6,Competition,Outcome-First,Free-Class,Named-parent,Competition-Prep,Static-Graphic,English,"How is your child preparing for NAPLAN?",Book a Free Class,"NAPLAN — top 5%","W-Testimonial-NAPLAN | Vishal | NAPLAN top 5%",High,
christmas-master-algebra-geometry,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Christmas_LeadGen_NA_Static-Christmas-Master-Algebra-Geometry-101225,2bd8897caec780dfaaa7cd787447a58d,152695,6,Academic-Outcome,Top-Tutors,Offer-led,Anonymous,"Topic-Algebra,Topic-Geometry",Static-Graphic,English,"This Christmas Give Your Child the Gift of Math Mastery","Get 25% off | Book a Free 1:1 Class","Master Algebra & Geometry","Christmas: Master Algebra & Geometry | 25% Off | 1:1 Online Math Tutoring",High,
high-school-ap-calculus-bc,USA_FB_Leads_Conv_Expats_High_School_40_60_Signup_LP_Statics_NA_Static-High-School-AP-Calculus-BC-090426,3148897caec780448dfac81e9d71577c,143995,2,Academic-Outcome,Top-Tutors,Free-Class,Anonymous,"Topic-Calculus,Late-Stage-HS",Static-Graphic,English,"AP Calculus BC mastery",Book a Free Trial Class,"AP Calculus BC","High School AP Calculus BC | 1:1 Online Tutoring | Top Indian Tutors",High,
anz-uk_fb_leads_conv_india-expats_uk_static_o-classroom-math,ANZ-UK_FB_Leads_Conv_India-Expats_UK_Static_O-Classroom-Maths_050226,,141944,3,System-diagnosis,1-1-Personalization,Free-Class,Anonymous,Personalization-Gap,Static-Graphic,English,"Classroom maths isn't enough",Book a Free Class,"one teacher many students","O-Classroom-Maths | Offline classroom limits vs 1:1 personalised online",Medium,Notion match not located; inferred from offline-vs-online frame in name
y-boost-naplan-white,ANZ_PFX_FB_Leads-Conv_Australia_All-Expats_ShortForm-LP-Signup_NA_Static_Y-Boost-NAPLAN-White_101225,2d58897caec78004bf5cc99416250587,140078,3,Competition,Competition-Prep,Offer-led,Anonymous,Competition-Prep,Static-Graphic,English,"Boost NAPLAN Maths","Up to 20% Off + Free Workbooks","NAPLAN-style","Y-Boost-NAPLAN-White | Get NAPLAN Maths Ready in 90 Days",High,
anz_fb_leads_conv_nri-cities-female_australia_static_y-testi,ANZ_FB_Leads_Conv_NRI-Cities-Female_Australia_Static_Y-Testimonial-Vishal_200326,3148897caec78012baaaf17b77aca7d1,127741,4,Competition,Outcome-First,Free-Class,Named-parent,Competition-Prep,Static-Graphic,English,"How is your child preparing for NAPLAN?",Book a Free Class,"NAPLAN top 5%","Vishal NAPLAN testimonial — NRI Cities Female targeting",High,
b-around-your-child-v3,MEA_AKT_FB_Leads_Conv_UAE_High_ROAS_Creative_Scaling_LP_Signup_NA_Static-B-Around-Your-Child-V3-040126,2958897caec7805fba91cae7026816c3,125645,4,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,Personalization-Gap,Static-Graphic,English,"Built around your child",Book a Free Class,"personalized 1:1 attention","B-Around-Your-Child V3 | Personalised attention built around your child | UAE",Medium,Notion match not directly located but MEA personalisation frame visible in MEA-ads-perf reference
top-indian-tutors-nri-ad2,USA_FB_Leads_Conv_LAL_Enrolled_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-Top-Indian-tutors-NRI-Ad2-230126,2f18897caec78088ada4dadb3ff74638,121516,2,Cultural,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Top Indian Math Tutors",Book a Free Class,"top 1% Indian tutors","Top Indian Tutors NRI Ad2 | Trusted Indian Math Tutors for K-12 NRI Kids",High,
static_y-ch-child,Static_Y-Ch-Child_280126,,118354,5,Cultural,MathFit,Free-Class,Named-child,Engagement,Static-Graphic,Mandarin,"Y-Ch-Child engagement frame",Book a Free Class,"thinking not calculating","Y-Ch-Child | Chinese PLA static | engaged child learning",Low,Notion not located; Chinese PLA variant inferred
anz_fb_leads_conv_tv-channels_australia_static_w-testimonial,ANZ_FB_Leads_Conv_TV-Channels_Australia_Static_W-Testimonial-NAPLAN_140126,3148897caec78012baaaf17b77aca7d1,117073,2,Competition,Outcome-First,Free-Class,Named-parent,Competition-Prep,Static-Graphic,English,"How is your child preparing for NAPLAN?",Book a Free Class,"NAPLAN","W-Testimonial-NAPLAN | Vishal | TV-Channels targeting",High,
math_kangaroo_static_build_skills_v2,Math_Kangaroo_Static_Build_Skills_V2_040126,3148897caec7805985add806bbf40eb4,116679,3,Competition,Competition-Prep,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,"Build Math Kangaroo Skills V2",Book a Free Class,"Math Kangaroo","Math Kangaroo Build Skills V2 | 1:1 prep with top Indian tutors",High,
loved-by-uae-families-14-nov-2025,MEA_AKT_FB_Leads_Conv_Interest_Maths_Engaged_shoppers_Parents_with_preteens_NA_Static-Loved-by-UAE-Families-14-Nov-2025,2958897caec7805fba91cae7026816c3,115750,6,Cultural,Cultural-Relatability,Trust-Badge,Anonymous,Foundation,Static-Graphic,English,"Trusted By US Parents. Loved By UAE Families",Book Your Free Class Today,"200,000+ Students","Loved by UAE Families | Trusted By US Parents | 1:1 Personalized | 4.9 Trustpilot",High,
spring-build-strong-foundation,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_NRI_Contextual_Statics_LeadGen_NA_Static-Spring-Build-Strong-Foundation-060426,32f8897caec7809fb096d641ec1e4d6f,114135,3,Cultural,Outcome-First,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Spring: Build a Strong Math Foundation",Book a Free Class,"strong foundations","Spring Build Strong Foundation | Top Indian Tutors | Trustpilot 4.9",High,
w-naplan-2026-ready,ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Static_W-NAPLAN-2026-Ready_241225,2d58897caec78004bf5cc99416250587,111999,5,Competition,Competition-Prep,Offer-led,Anonymous,Competition-Prep,Static-Graphic,English,"NAPLAN 2026 is closer than you think","Up to 20% Off + Free Workbooks | Book a Free Class","NAPLAN 2026","Get NAPLAN 2026 Ready in 90 Days | Up to 20% Off + Free Workbooks",High,
easter_hop_into_math_confidence,Easter_Hop_Into_Math_Confidence_240326,,105084,2,Behavioral-Outcome,Outcome-First,Offer-led,Named-tutor,Confidence,Studio,English,"Hop into Math Confidence this Easter",Book a Free Class,"build maths confidence","Easter Hop Into Math Confidence | Tutor talking head | Easter offer",Medium,Notion match not directly located; Easter creative — inferred Studio talking head from creative_type
high-school-algebra-to-ap-calculus,USA_FB_Leads_Conv_PayU_New_Audience_35-55_Statics_High_School_New_Concepts_LeadGen_NA_Static-High-School-Algebra-to-AP-Calculus-170426,3148897caec780448dfac81e9d71577c,104100,2,Academic-Outcome,Top-Tutors,Free-Class,Anonymous,"Topic-Algebra,Topic-Calculus",Static-Graphic,English,"From Algebra 1 to AP Calculus",Book a Free Trial Class,"Algebra 1 to Pre-Calculus","High School Algebra to AP Calculus | 1:1 Online Tutoring | Top Indian Tutors",High,
top-indian-tutors-nri-ad1,USA_FB_Leads_Conv_PayU_NRI_Audience_Signup_Old-LP_35-55_NRI_Contextual_Statics_NA_Static-Top-Indian-tutors-NRI-Ad1-010226,2f18897caec78088ada4dadb3ff74638,102159,2,Cultural,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Top Indian Math Tutors",Book a Free Class,"top 1% Indian tutors","Top Indian Tutors NRI Ad1 | K-12 NRI Kids | Trustpilot 4.9",High,
anz_fb_leads_conv_expats-india_australia_static_w-naplan-202,ANZ_FB_Leads_Conv_Expats-India_Australia_Static_W-NAPLAN-2027-Testimonial_150426,3148897caec78012baaaf17b77aca7d1,93818,5,Competition,Outcome-First,Free-Class,Named-parent,Competition-Prep,Static-Graphic,English,"Is your child ready for NAPLAN 2027?",Book a Free Class,"NAPLAN 2027","NAPLAN 2027 Testimonial | Prepare for NAPLAN with Confidence",High,
naplan-chinese-v2,ANZ_PFX_FB_Leads-Conv_Australia_LeadGen_NA_Static_NAPLAN-Chinese-V2_230126,2d58897caec78004bf5cc99416250587,93000,3,Competition,Cultural-Relatability,Offer-led,Anonymous,Competition-Prep,Static-Graphic,Mandarin,"NAPLAN prep — Chinese V2","Up to 20% Off + Free Workbooks","NAPLAN-style","NAPLAN-Chinese V2 | NAPLAN Maths Prep | Chinese-Australian families",Medium,
anz_fb_leads_conv_vernac-tamil-static_australia_static_ad3-t,ANZ_FB_Leads_Conv_Vernac-Tamil-Static_Australia_Static_Ad3-Tamil-Text_110226,,89700,2,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,Tamil,"Tamil vernac static",Book a Free Class,"Tamil-speaking parents","Vernac-Tamil-Static Ad3 | Tamil text | Australia Tamil diaspora",Medium,Notion match not directly located via search; Tamil vernac inferred
anz-nz_fb_leads_conv_parents-pri+sec_australia_form_static_c,ANZ-NZ_FB_Leads_Conv_Parents-Pri+Sec_Australia_Form_Static_Classroom-Math_280126,,88298,2,System-diagnosis,1-1-Personalization,Free-Class,Anonymous,Personalization-Gap,Static-Graphic,English,"Classroom Math vs 1:1 Tutoring",Book a Free Class,"one teacher many students","Classroom Math | Offline classroom vs 1:1 personalised online",Medium,Notion match not located; ANZ-NZ classroom-math frame inferred
anz_fb_leads_conv_lal-0to2-ql_australia_static_testimonial-d,ANZ_FB_Leads_Conv_LAL-0to2-QL_Australia_Static_Testimonial-Dharmender_200426,,86628,3,Behavioral-Outcome,Outcome-First,Free-Class,Named-parent,Confidence,Static-Graphic,English,"Dharmender testimonial",Book a Free Class,"my child gained confidence","Testimonial-Dharmender | Parent testimonial | child confidence",Low,Notion match not located; tagged from testimonial format + parent name
anz_fb_leads_conv_all-expats_australia_static_w-child-fallin,ANZ_FB_Leads_Conv_All-Expats_Australia_Static_W-Child-Falling-Behind_070126,,82967,3,Anxiety,1-1-Personalization,Free-Class,Named-child,Confidence,Static-Graphic,English,"Is Your Child Falling Behind in Maths?",Book a Free Class,"falling behind","W-Child-Falling-Behind | Is Your Child Falling Behind in Maths? | 1:1 personalised tutoring",High,Notion ref via 'New term creatives ANZ Dec25' (2c38897c...) confirms hook; ad name explicit
usa_fb_leads_conv_lal_payu_indianaudience_nri_35-55_leadgen_,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_LeadGen_3MF_Static_B-Math-Learning-New_020126,2f18897caec78088ada4dadb3ff74638,81990,4,Cultural,Top-Tutors,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Better Math Learning - NRI",Book a Free Class,"top Indian tutors","B-Math-Learning-New | Top Indian Tutors for NRI K-12",Medium,
w-naplan-boost-math,ANZ_PFX_FB_Leads-Conv_Australia_PayU_LeadGen_NA_Static_W-NAPLAN-Boost-Math_291225,2d58897caec78004bf5cc99416250587,77784,7,Competition,Competition-Prep,Offer-led,Anonymous,Competition-Prep,Static-Graphic,English,"Boost NAPLAN Maths","Up to 20% Off + Free Workbooks","NAPLAN-style questions","W-NAPLAN-Boost-Math | Get NAPLAN Maths Ready in 90 Days | 20% Off",High,
is-your-child-preparing,USA_FB_Leads_Conv_LAL_PayU_IndianAudience_NRI_35-55_Math-Kangaroo_LeadGen_NA_Static-Is-your-child-preparing-051225,3148897caec7805985add806bbf40eb4,76158,3,Competition,Competition-Prep,Free-Class,Anonymous,Competition-Prep,Static-Graphic,English,"Is your child preparing for Math Kangaroo?",Book a Free Class,"Math Kangaroo","Is Your Child Preparing? | Math Kangaroo | 1:1 with top Indian tutors",High,
usa_pfx_fb_leads_conv_lal_0-2%_engaged_priyanshul-2,USA_PFX_FB_Leads_Conv_LAL_0-2%_Engaged_Priyanshul-2_031125,33e8897caec780a9b4f2eb7a3773cd78,73050,2,Cultural,Cultural-Relatability,Try-Cuemath,Named-tutor,Foundation,Static-Graphic,English,"Influencer Priyanshul recommendation",Try Cuemath,"Indian tutors recommended","Priyanshul Influencer Perf Edit | NRI parent influencer endorses Cuemath",Medium,Influencer static; Priyanshul named — perf cut variant
usa_akt_fb_leads_conv_int_expats-telugu_35-55_leadgen_telugu,USA_AKT_FB_Leads_Conv_Int_Expats-Telugu_35-55_LeadGen_Telugu_Creatives_Telugu_copy_Static_Balamaina_Math_Foundation_150126,,66463,2,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,Telugu,"Balamaina Math Foundation - Telugu",Book a Free Class,"strong math foundation Telugu","Balamaina Math Foundation | Telugu vernac for US-Telugu expats",Medium,
anz_fb_leads_conv_bollywood_australia_static_y-testimonial-v,ANZ_FB_Leads_Conv_Bollywood_Australia_Static_Y-Testimonial-Vishal_150326,3148897caec78012baaaf17b77aca7d1,66059,3,Competition,Outcome-First,Free-Class,Named-parent,Competition-Prep,Static-Graphic,English,"How is your child preparing for NAPLAN?",Book a Free Class,"NAPLAN","Vishal NAPLAN testimonial — Bollywood interest targeting",High,
