ad_name,talent,spend,TD,hook_frame,master_frame,close_type,specificity,pain_target,production_cue,language,evidence_hook,evidence_close,evidence_pain,confidence,notes
ANZ_FB_Leads_Conv_Influencers_Australia_Video_Influencer-Seema_270426,Seema,6715,0,Child-diagnosis,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,Group classes with 20 to 30 kids did not give her the confidence to speak up.,Cuemath is offering one free one-on-one trial class.,"They make her think, explain her reasoning, and really understand the why.",High,
ANZ_FB_Leads_Conv_Influencers_Australia_Video_Influencer-Shalini_270426,Shalini,30705,0,Academic-Outcome,Memorization-vs-Understanding,Try-Cuemath,Anonymous,"Confidence,Concept-Clarity",UGC-polished,English,"Mama, I got 100 on my math test.",Cuemath is definitely worth trying.,They focus on understanding concepts instead of memorizing formulas.,High,
ANZ_FB_Leads_Conv_Influencers_Australia_Video_Jayashree_200326,Jayashree,28048,1,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Engagement,UGC-polished,English,She actually gets excited to sit at her desk for her Cuemath class.,"If you want your child to enjoy math like this, you should try it.",Her tutor really understands her learning style and keeps math fun.,High,
ANZ_FB_Leads_Conv_Influencers_Australia_Video_Jugnu_200326,Jugnu,203515,8,Child-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,We used to spend so much time on math homework that my daughter was often missing playtime.,"If you're curious, they offer a free trial class.",Their approach is not about memorizing formulas - it's really understanding the why behind math.,High,
ANZ_FB_Leads_Conv_Locations_Australia_Video_Testimonial-Shalini_170226,Shalini,20230,0,Academic-Outcome,Memorization-vs-Understanding,Try-Cuemath,Anonymous,"Confidence,Concept-Clarity",UGC-polished,English,"Mama, I got 100 on my math test.",Cuemath is definitely worth trying.,They focus on understanding concepts instead of memorizing formulas.,High,
ANZ_FB_Leads_Conv_Parents-Pri+Sec-Inf_Australia_Video_Influencer-Heena_160226,Heena,26201,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,"Engagement,Concept-Clarity",UGC-polished,English,The math hack every mom needs to know - it changed how my daughter sees math.,Book a trial class.,We started with Cuemath for Aashna. They offer a personalized learning plan.,High,
ANZ_FB_Leads_Conv_Razorpay_Australia_Video_Influencer-Sahar_210426,Sahar,54584,1,Child-diagnosis,MathFit,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,"He could sometimes get the right answer in math. But when I asked him how he solved it, he couldn't really explain it.",You can also try their free trial class.,"They call it becoming MathFit, developing real problem solving and reasoning skills.",High,Script says QMath but means Cuemath.
ANZ_FB_Leads_Conv_int-Parents_Australia_Video_Influencer-Sahar_090426,Sahar,63286,3,Child-diagnosis,MathFit,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,"He could sometimes get the right answer in math. But when I asked him how he solved it, he couldn't really explain it.",You can also try their free trial class.,"They call it becoming MathFit, developing real problem solving and reasoning skills.",High,Script says QMath but means Cuemath.
ANZ_FB_Leads_Conv_int4C_Australia_Video_Influencer-Sahar_210426,Sahar,14409,0,Child-diagnosis,MathFit,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,"He could sometimes get the right answer in math. But when I asked him how he solved it, he couldn't really explain it.",You can also try their free trial class.,"They call it becoming MathFit, developing real problem solving and reasoning skills.",High,Script says QMath but means Cuemath.
ANZ_FB_Leads_Conv_int4C_Australia_Video_Jugnu_210426,Jugnu,24481,0,Child-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,We used to spend so much time on math homework that my daughter was often missing playtime.,"If you're curious, they offer a free trial class.",Their approach is not about memorizing formulas - it's really understanding the why behind math.,High,
CAN_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Heena_030226,Heena,10400,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,"Engagement,Concept-Clarity",UGC-polished,English,The math hack every mom needs to know - it changed how my daughter sees math.,Book a trial class.,We started with Cuemath for Aashna. They offer a personalized learning plan.,High,
CAN_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Keerthi_030226,Keerthi,4415,0,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
CAN_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Priyanshul_IG_video_290126,Priyanshul,13700,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
Influencer-Video_Priyanshul_260126,Priyanshul,8289,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_Influencer_Videos_NA_Video_Keerthi_200426,Keerthi,2621,1,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_Influencer_Videos_NA_Video_Priyanshul_200426,Priyanshul,4388,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_Influencer_Videos_NA_Video_Video_Shalini_Inhouse_Edit_200426,Shalini,4559,0,Academic-Outcome,Memorization-vs-Understanding,Try-Cuemath,Anonymous,"Confidence,Concept-Clarity",UGC-polished,English,"Mama, I got 100 on my math test.",Cuemath is definitely worth trying.,They focus on understanding concepts instead of memorizing formulas.,High,
MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_Influencer_Videos_NA_Video_Video_Shweta_Negi_200426,Shweta Negi,64426,3,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,
USA_AKT_FB_Leads_Conv_Advantage+Audience_Telugu_ShortForm-LP_NA_Video_Testimonial-Deepthi-31s-Telugu_11-Nov-2025,Deepthi,6802,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,Telugu,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_AKT_FB_Leads_Conv_Advantage+Audience_Telugu_ShortForm-LP_NA_Video_Testimonial-Deepthi-31s-Telugu_11-Nov-2025,Deepthi,3865,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,Telugu,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_AKT_FB_Leads_Conv_Advantage+Audience_Telugu_ShortForm-LP_NA_Video_Testimonial-Deepthi-31s-Telugu_11-Nov-2025,Deepthi,3094,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,Telugu,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_AKT_FB_Leads_Conv_Advantage+Audience_Telugu_ShortForm-LP_NA_Video_Testimonial-Deepthi-31s-Telugu_11-Nov-2025,Deepthi,2221,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,Telugu,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_AKT_FB_Leads_Conv_Expats_NRI_Telugu_LeadGen_NA_Video_Testimonial-Deepthi-31s-Telugu_180226,Deepthi,8873,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,Telugu,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_FB_Leads_Conv_Advantage_Audience_Gujarati_35_55_LeadGen_NA_Video_Gujarati-Testimonial-Nidhi-Shah-020126,Nidhi,9111,1,Anxiety,Memorization-vs-Understanding,Free-Class,Anonymous,"Foundation,Confidence",UGC-polished,Gujarati,This year he will either love math or totally hate it. I wasn't ready to leave it to luck.,Book a free Cuemath trial class today.,Visual tools and logic games that turn abstract concepts into something real.,High,
USA_FB_Leads_Conv_Advantage_Audience_Telugu_LeadGen_35-55_LeadGen_NA_Video_Perf_Telegu_Influencer_Anudeep_US_150426,Anudeep,12360,0,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,Telugu,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,
USA_FB_Leads_Conv_Advantage_Audience_Telugu_LeadGen_35-55_LeadGen_NA_Video_Perf_Telegu_Influencer_Keerthi_US_150426,Keerthi,1758,0,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,Telugu,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
USA_FB_Leads_Conv_CTF_LAL_Enrolled_Signup_LP_Video_Influencer_Perf_Edit_Shweta_Negi_180326,Shweta Negi,28215,0,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,
USA_FB_Leads_Conv_CTF_LAL_Enrolled_Signup_LP_Video_Influencer_Perf_Twitter_Edit_Heena_180326,Heena,9128,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,"Engagement,Concept-Clarity",UGC-polished,English,The math hack every mom needs to know - it changed how my daughter sees math.,Book a trial class.,We started with Cuemath for Aashna. They offer a personalized learning plan.,High,
USA_FB_Leads_Conv_Expats_Female_35_55_Signup_LP_Influencer_Perf_Edit_NA_Video_Influencer_Perf_Twitter_Edit_Heena_130426,Heena,3525,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,"Engagement,Concept-Clarity",UGC-polished,English,The math hack every mom needs to know - it changed how my daughter sees math.,Book a trial class.,We started with Cuemath for Aashna. They offer a personalized learning plan.,High,
USA_FB_Leads_Conv_Expats_Female_35_55_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Influencer_Deepthi_US_130426,Deepthi,51727,2,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_FB_Leads_Conv_Expats_Female_35_55_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Influencer_Jia_US_130426,Jia,7438,0,Behavioral-Outcome,1-1-Personalization,Recommendation,Anonymous,"Engagement,Foundation",UGC-polished,English,I'm glad that my daughter is finally engaged with something productive.,I can't recommend this enough.,"They're building strong math foundation, playing fun math games.",High,
USA_FB_Leads_Conv_Expats_NRI_Audience_35-55_LeadGen_NA_Video_Influencer_Perf_Edit_Shweta_Negi_060426,Shweta Negi,3608,0,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,
USA_FB_Leads_Conv_Expats_NRI_Audience_35-55_LeadGen_NA_Video_Influencer_Perf_Twitter_Edit_Heena_060426,Heena,512,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,"Engagement,Concept-Clarity",UGC-polished,English,The math hack every mom needs to know - it changed how my daughter sees math.,Book a trial class.,We started with Cuemath for Aashna. They offer a personalized learning plan.,High,
USA_FB_Leads_Conv_Expats_NRI_Audience_35-55_LeadGen_NA_Video_Perf_Influencer_Deepthi_US_060426,Deepthi,1635,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Influencer_Perf_Edit_Shweta_Negi_250326,Shweta Negi,29769,2,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Influencer_Perf_Twitter_Edit_Heena_250326,Heena,24610,1,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,"Engagement,Concept-Clarity",UGC-polished,English,The math hack every mom needs to know - it changed how my daughter sees math.,Book a trial class.,We started with Cuemath for Aashna. They offer a personalized learning plan.,High,
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Influencer_Deepthi_US_250326,Deepthi,7394,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Influencer_Jia_US_250326,Jia,5078,0,Behavioral-Outcome,1-1-Personalization,Recommendation,Anonymous,"Engagement,Foundation",UGC-polished,English,I'm glad that my daughter is finally engaged with something productive.,I can't recommend this enough.,"They're building strong math foundation, playing fun math games.",High,
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Telegu_Influencer_Anudeep_US_250326,Anudeep,32825,0,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,Telugu,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,
USA_FB_Leads_Conv_Expats_NRI_Audience_Signup_LP_Influencer_Perf_Edit_NA_Video_Perf_Telegu_Influencer_Keerthi_US_250326,Keerthi,15857,0,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,Telugu,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
USA_FB_Leads_Conv_Expats_NRI_Audience_Telugu_LeadGen_35-55_LeadGen_NA_Video_Perf_Telegu_Influencer_Anudeep_US_150426,Anudeep,26234,0,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,Telugu,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,
USA_FB_Leads_Conv_Expats_NRI_Audience_Telugu_LeadGen_35-55_LeadGen_NA_Video_Perf_Telegu_Influencer_Keerthi_US_150426,Keerthi,9564,0,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,Telugu,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
USA_FB_Leads_Conv_Expats_NRI_Signup_Old-LP_35-55_Influencer_NA_Video_Heena_030226,Heena,19395,1,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,"Engagement,Concept-Clarity",UGC-polished,English,The math hack every mom needs to know - it changed how my daughter sees math.,Book a trial class.,We started with Cuemath for Aashna. They offer a personalized learning plan.,High,
USA_FB_Leads_Conv_Expats_NRI_Signup_Old-LP_35-55_Influencer_NA_Video_Keerthi_030226,Keerthi,111467,4,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
USA_FB_Leads_Conv_Expats_NRI_Signup_Old-LP_35-55_Influencer_NA_Video_Priyanshul_IG_video_290126,Priyanshul,152903,3,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Influencer_35_55_Advantage_LP_Signup_NA_Video_Shalini_Inhouse_Edit_030326,Shalini,171169,4,Academic-Outcome,Memorization-vs-Understanding,Try-Cuemath,Anonymous,"Confidence,Concept-Clarity",UGC-polished,English,"Mama, I got 100 on my math test.",Cuemath is definitely worth trying.,They focus on understanding concepts instead of memorizing formulas.,High,
USA_FB_Leads_Conv_Influencer_35_55_Advantage_LP_Signup_NA_Video_Shalini_Inhouse_Edit_030326,Shalini,11040,4,Academic-Outcome,Memorization-vs-Understanding,Try-Cuemath,Anonymous,"Confidence,Concept-Clarity",UGC-polished,English,"Mama, I got 100 on my math test.",Cuemath is definitely worth trying.,They focus on understanding concepts instead of memorizing formulas.,High,
USA_FB_Leads_Conv_Influencer_35_55_Advantage_LP_Signup_NA_Video_Shalini_Inhouse_Edit_310326,Shalini,32329,0,Academic-Outcome,Memorization-vs-Understanding,Try-Cuemath,Anonymous,"Confidence,Concept-Clarity",UGC-polished,English,"Mama, I got 100 on my math test.",Cuemath is definitely worth trying.,They focus on understanding concepts instead of memorizing formulas.,High,
USA_FB_Leads_Conv_Influencer_Expats_Part1_Signup_LP_Postboost_Video_Ana_250426,Ana,13387,0,Enrichment,Memorization-vs-Understanding,Free-Class,Anonymous,Topic-Algebra,UGC-polished,English,I started using Cuemath for high school prep. My tutor just doesn't give me formulas to memorize.,Do them a favor and book the free trial.,Visual simulations that make advanced algebra and geometry actually make sense.,High,
USA_FB_Leads_Conv_Influencer_Expats_Part1_Signup_LP_Postboost_Video_Anudeep_250426,Anudeep,20497,0,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,
USA_FB_Leads_Conv_Influencer_Expats_Part1_Signup_LP_Postboost_Video_Jayashree_250426,Jayashree,5548,0,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Engagement,UGC-polished,English,She actually gets excited to sit at her desk for her Cuemath class.,"If you want your child to enjoy math like this, you should try it.",Her tutor really understands her learning style and keeps math fun.,High,
USA_FB_Leads_Conv_Influencer_Expats_Part1_Signup_LP_Postboost_Video_Priyanka_D_280426,Priyanka D,7818,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Concept-Clarity,Confidence",UGC-polished,English,"Mama, if one apple costs $3, how much would seven apples cost? $21. So easy.",If you want to try out for a free Cuemath trial class.,"His tutor goes at his pace, makes sure he really understand math and focuses on reasoning.",High,
USA_FB_Leads_Conv_Influencer_Expats_Part2_Signup_LP_Postboost_Video_Priyanka_D_250426,Priyanka D,2767,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Concept-Clarity,Confidence",UGC-polished,English,"Mama, if one apple costs $3, how much would seven apples cost? $21. So easy.",If you want to try out for a free Cuemath trial class.,"His tutor goes at his pace, makes sure he really understand math and focuses on reasoning.",High,
USA_FB_Leads_Conv_Influencer_Expats_Part3_Signup_LP_Postboost_Video_Seema_250426,Seema,12047,0,Child-diagnosis,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,Group classes with 20 to 30 kids did not give her the confidence to speak up.,Cuemath is offering one free one-on-one trial class.,"They make her think, explain her reasoning, and really understand the why.",High,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Edited_Videos_Video_Jayashree_190326,Jayashree,8039,0,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Engagement,UGC-polished,English,She actually gets excited to sit at her desk for her Cuemath class.,"If you want your child to enjoy math like this, you should try it.",Her tutor really understands her learning style and keeps math fun.,High,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Edited_Videos_Video_Jugnu_190326,Jugnu,7551,0,Child-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,We used to spend so much time on math homework that my daughter was often missing playtime.,"If you're curious, they offer a free trial class.",Their approach is not about memorizing formulas - it's really understanding the why behind math.,High,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Edited_Videos_Video_Priyanshul_190326,Priyanshul,36679,1,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Edited_Videos_Video_Priyanshul_IG_220326,Priyanshul,3114,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Edited_Videos_Video_Sahar_190326,Sahar,2110,0,Child-diagnosis,MathFit,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,"He could sometimes get the right answer in math. But when I asked him how he solved it, he couldn't really explain it.",You can also try their free trial class.,"They call it becoming MathFit, developing real problem solving and reasoning skills.",High,Script says QMath but means Cuemath.
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Abhilasha_170326,Abhilasha,11865,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Engagement,Concept-Clarity",UGC-polished,English,"I love a good mom hack, but this one actually changed our everyday routine.",Cuemath even offers a free trial.,He asks questions freely and gets instant feedback. Math time is no longer a struggle.,High,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Jayashree_170326,Jayashree,11060,0,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Engagement,UGC-polished,English,She actually gets excited to sit at her desk for her Cuemath class.,"If you want your child to enjoy math like this, you should try it.",Her tutor really understands her learning style and keeps math fun.,High,
